dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
ZT03_F03_S3_W17_1_	13215	11412	11325	11270	9990	9842	74.5
ZT03_F03_S4_W17_1_	71328	63667	63288	62994	61599	59213	83
ZT03_F04_S3_W17_1_	1561	1378	1344	1298	1140	1110	71.1
ZT03_F04_S4_W17_1_	19993	17635	17399	17428	16972	16685	83.5
ZT03_F05_S3_W17_1_	218652	178662	178310	178416	177298	176031	80.5
ZT03_F05_S4_W17_1_	16025	14656	14507	14492	14283	14005	87.4
ZT03_F06_S3_W17_1_	53461	49167	48955	48834	48176	47527	88.9
ZT03_F06_S4_W17_1_	20810	17714	17474	17461	16813	16300	78.3
ZT03_F07_S3_W17_1_	25392	22083	21835	21856	21307	20640	81.3
ZT03_F07_S4_W17_1_	17197	15482	15275	15198	14508	13733	79.9
ZT03_F08_S3_W17_1_	6215	5689	5572	5549	5282	4819	77.5
ZT03_F08_S4_W17_1_	16342	14558	14409	14354	13904	13189	80.7
ZT03_F09_S3_W17_1_	66828	61492	61195	61264	59478	57873	86.6
ZT03_F09_S4_W17_1_	61570	56638	56266	55972	52571	51413	83.5
ZT03_F10_S3_W17_1_	7433	6562	6519	6531	6491	6478	87.2
ZT03_F10_S4_W17_1_	24713	22197	22048	22083	21820	21172	85.7
ZT04_F01_S3_W17_1_	36143	29119	28894	28907	28359	27896	77.2
ZT04_F01_S4_W17_1_	2776	2476	2454	2439	2425	2420	87.2
ZT04_F02_S3_W17_1_	27909	25087	25002	24977	24741	24248	86.9
ZT04_F02_S4_W17_1_	73914	61926	61037	60793	56762	47812	64.7
ZT04_F03_S3_W17_1_	27029	22612	22528	22358	22081	20737	76.7
ZT04_F03_S4_W17_1_	35079	31650	31472	31474	31205	29722	84.7
ZT04_F04_S3_W17_1_	27222	23595	23406	23390	22711	21666	79.6
ZT04_F04_S4_W17_1_	7358	6663	6587	6608	6472	6386	86.8
ZT04_F05_S3_W17_1_	16449	15218	15082	14968	14679	14010	85.2
ZT04_F05_S4_W17_1_	13050	11108	10988	10960	10662	10532	80.7
ZT04_F06_S3_W17_1_	81206	71381	71092	71019	69913	68522	84.4
ZT04_F06_S4_W17_1_	10603	9606	9481	9548	9294	9083	85.7
ZT04_F07_S3_W17_1_	75195	69041	67983	68538	65672	63815	84.9
ZT04_F07_S4_W17_1_	30857	27532	27267	27291	26647	25243	81.8
ZT04_F08_S3_W17_1_	7790	7123	6973	6979	6601	5804	74.5
ZT04_F08_S4_W17_1_	155419	135535	134997	134806	132266	127133	81.8
ZT04_F09_S3_W17_1_	183311	159038	158317	158430	154710	151710	82.8
ZT04_F09_S4_W17_1_	16867	15447	15279	15254	14955	14793	87.7
ZT04_F10_S3_W17_1_	120211	96833	96143	95718	92033	87285	72.6
ZT04_F10_S4_W17_1_	8196	7303	7259	7242	7185	7040	85.9
ZT05_F01_S3_W17_1_	102758	86705	86349	86370	84976	82644	80.4
ZT05_F01_S4_W17_1_	24201	21384	21222	21116	20537	19004	78.5
ZT05_F02_S3_W17_1_	53488	49232	49056	48939	47246	40118	75
ZT05_F02_S4_W17_1_	1116	921	897	868	853	850	76.2
ZT05_F03_S3_W17_1_	32262	29891	29541	29034	27306	25346	78.6
ZT05_F03_S4_W17_1_	38025	34619	34256	34373	33507	31770	83.6
ZT05_F04_S3_W17_1_	42321	35736	35582	35518	34231	33567	79.3
ZT05_F04_S4_W17_1_	88590	77320	76857	76917	75593	73663	83.2
ZT05_F05_S3_W17_1_	11670	10068	9919	9947	9684	8186	70.1
ZT05_F05_S4_W17_1_	34758	30358	30290	30186	29367	28953	83.3
ZT05_F06_S3_W17_1_	11899	10742	10612	10656	10448	10118	85
ZT05_F06_S4_W17_1_	11321	9931	9886	9875	9500	9492	83.8
ZT05_F07_S3_W17_1_	15315	12975	12782	12779	11791	11551	75.4
ZT05_F07_S4_W17_1_	25462	22866	22789	22755	22554	21723	85.3
ZT05_F08_S3_W17_1_	13479	12098	12021	12028	11835	11794	87.5
ZT05_F08_S4_W17_1_	34492	32269	32137	32050	31816	31545	91.5
ZT05_F09_S3_W17_1_	18455	15450	15285	15290	14969	14822	80.3
ZT05_F09_S4_W17_1_	746209	537625	536144	536475	526273	475874	63.8
ZT05_F10_S3_W17_1_	15997	14476	14368	14305	14037	13830	86.5
ZT05_F10_S4_W17_1_	13307	11695	11467	11517	11051	10332	77.6
