dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
ET02_F07_S3_W17_1_	23942	21202	20947	20960	20546	20251	84.6
ET02_F07_S4_W17_1_	106577	96111	95777	95774	95034	94692	88.8
ET02_F08_S3_W17_1_	64300	58599	58363	57807	56025	53853	83.8
ET02_F08_S4_W17_1_	17695	15237	15202	15090	12258	12039	68
ET02_F09_S3_W17_1_	9121	8175	8081	8086	7858	6982	76.5
ET02_F09_S4_W17_1_	21893	18837	18454	18620	17768	17372	79.3
ET02_F10_S3_W17_1_	1863	1692	1669	1638	1610	1593	85.5
ET02_F10_S4_W17_1_	25302	22368	22284	22230	22043	21845	86.3
ET03_F01_S3_W17_1_	51032	45316	45207	45100	44850	44235	86.7
ET03_F01_S4_W17_1_	200623	176240	175096	174404	169308	154850	77.2
ET03_F02_S3_W17_1_	101772	92320	90817	90925	85500	75076	73.8
ET03_F02_S4_W17_1_	251505	219274	218133	217247	211424	190297	75.7
ET03_F03_S3_W17_1_	11316	9722	9655	9627	9460	9412	83.2
ET03_F03_S4_W17_1_	44800	41024	40707	40783	39793	37737	84.2
ET03_F04_S3_W17_1_	11897	11071	10933	10947	10728	10135	85.2
ET03_F04_S4_W17_1_	242571	204349	204042	203402	201552	193499	79.8
ET03_F05_S3_W17_1_	13560	12258	12177	12136	11975	11828	87.2
ET03_F05_S4_W17_1_	26214	23840	23617	23562	23077	22027	84
ET03_F06_S3_W17_1_	12548	11168	11098	11054	10918	10573	84.3
ET03_F06_S4_W17_1_	128544	113777	112378	113168	109119	103738	80.7
ET03_F07_S3_W17_1_	12032	10677	10473	10516	10162	9934	82.6
ET03_F07_S4_W17_1_	161086	142986	142329	142009	138706	134017	83.2
ET03_F08_S3_W17_1_	1501	1363	1350	1336	1322	1315	87.6
ET03_F08_S4_W17_1_	99699	91254	90341	90451	87466	81041	81.3
ET03_F09_S3_W17_1_	18728	16491	16286	16334	16022	15617	83.4
ET03_F09_S4_W17_1_	4847	4289	4239	4225	4091	4077	84.1
ET03_F10_S3_W17_1_	23437	21057	20901	20876	20497	19993	85.3
ET03_F10_S4_W17_1_	13725	12830	12698	12744	12455	11642	84.8
ET04_F01_S3_W17_1_	13874	12705	12602	12582	12409	12062	86.9
ET04_F01_S4_W17_1_	69529	61333	61035	60793	59072	56330	81
ET04_F02_S3_W17_1_	72906	66117	65379	65025	62168	54219	74.4
ET04_F02_S4_W17_1_	63074	57208	56912	56855	56044	53759	85.2
ET04_F03_S3_W17_1_	12728	11594	11425	11426	10933	10223	80.3
ET04_F03_S4_W17_1_	5111	4431	4324	4394	4218	4058	79.4
ET04_F04_S3_W17_1_	82469	78625	78471	78234	77579	73878	89.6
ET04_F04_S4_W17_1_	72554	63681	63453	63336	62536	60897	83.9
ET04_F05_S3_W17_1_	10516	9430	9352	9237	9015	8533	81.1
ET04_F05_S4_W17_1_	17069	15058	14955	14872	14546	14047	82.3
ET04_F06_S3_W17_1_	30733	25956	25776	25644	25302	24788	80.7
ET04_F06_S4_W17_1_	23369	19642	19364	19440	18388	18141	77.6
ET04_F07_S3_W17_1_	20384	18391	18215	17999	17052	16773	82.3
ET04_F07_S4_W17_1_	101362	85201	84900	84699	81183	78864	77.8
ET04_F08_S3_W17_1_	34120	31447	31354	31306	31160	30137	88.3
ET04_F08_S4_W17_1_	87524	75517	75375	75184	74419	72762	83.1
ET04_F09_S3_W17_1_	10756	9761	9652	9679	9383	9211	85.6
ET04_F09_S4_W17_1_	6631	5892	5793	5767	5510	5227	78.8
ET04_F10_S3_W17_1_	121813	105248	104849	104750	102435	101241	83.1
ET04_F10_S4_W17_1_	80287	72864	72471	72455	71111	68425	85.2
ET05_F01_S3_W17_1_	22900	20992	20824	20780	20414	19545	85.3
ET05_F01_S4_W17_1_	49946	46144	45978	45776	45089	43887	87.9
ET05_F02_S3_W17_1_	131972	119966	119613	119177	117296	108101	81.9
ET05_F02_S4_W17_1_	13484	10802	10774	10753	10662	10625	78.8
ET05_F03_S3_W17_1_	159852	140514	139801	139804	136946	134118	83.9
ET05_F03_S4_W17_1_	33988	30283	30256	30114	30041	29853	87.8
ET05_F04_S3_W17_1_	16716	15218	15076	15074	14779	14399	86.1
ET05_F04_S4_W17_1_	183743	161534	160964	160867	157113	154139	83.9
ET05_F05_S3_W17_1_	59048	54308	54204	54182	53627	53250	90.2
ET05_F05_S4_W17_1_	119982	111941	111692	111244	109703	103660	86.4
ET05_F06_S3_W17_1_	101337	94242	93841	93743	92574	89908	88.7
ET05_F06_S4_W17_1_	26707	22754	22631	22595	22232	21645	81
ET05_F07_S3_W17_1_	155859	136156	135198	135139	131194	120050	77
ET05_F07_S4_W17_1_	6879	6123	6055	6078	5987	5561	80.8
ET05_F08_S3_W17_1_	180216	154647	154307	153850	152117	144898	80.4
ET05_F08_S4_W17_1_	62824	58779	58550	58375	57341	53830	85.7
ET05_F09_S3_W17_1_	98718	86428	86068	85449	83205	79233	80.3
ET05_F09_S4_W17_1_	12465	10856	10665	10572	10139	9895	79.4
ET05_F10_S3_W17_1_	59798	50685	50514	50449	50099	48833	81.7
ET05_F10_S4_W17_1_	71479	63763	63352	63551	62847	62250	87.1
Ext_Neg_1_1_	90503	77182	76983	76875	76165	74831	82.7
Ext_Neg_10_1_	6034	5607	5572	5568	5529	5523	91.5
